Time [s], Analyzer Name, Decoded Protocol Result
0.000151583333333,I2C,Setup Write to [0xE0] + ACK
0.000269541666667,I2C,0x80 + NAK
puase 1.4 ms
0.001803333333333,I2C,Setup Write to [0xE0] + ACK
0.001920791666667,I2C,0x35 + ACK
0.002032708333333,I2C,0x17 + ACK

0.002183791666667,I2C,Setup Write to [0xE0] + ACK
0.002301750000000,I2C,0xEF + NAK

0.002440791666667,I2C,Setup Read to [0xE1] + ACK
0.002549708333333,I2C,0x08 + ACK
0.002634041666667,I2C,0x87 + NAK
puase 0.6 ms
0.003335208333333,I2C,Setup Write to [0xE0] + ACK
0.003453166666667,I2C,0xB0 + ACK
0.003564583333333,I2C,0x98 + ACK

0.003714625000000,I2C,Setup Write to [0x7C] + ACK
0.003834083333333,I2C,0xEA + ACK
0.003946500000000,I2C,0xBE + ACK
0.004059416666667,I2C,0xF0 + ACK
0.004171375000000,I2C,0xFC + ACK
puase 0.2 ms
0.004465958333333,I2C,Setup Write to [0x7C] + ACK
0.004585416666667,I2C,0xE8 + ACK

0.004696833333333,I2C,0x00 + ACK 1
0.004816791666667,I2C,0x00 + ACK 2
0.004925208333333,I2C,0x00 + ACK 3
0.005033625000000,I2C,0x00 + ACK 4
0.005142000000000,I2C,0x00 + ACK 5
0.005250416666667,I2C,0x00 + ACK 6
0.005358833333333,I2C,0x00 + ACK 7
0.005467250000000,I2C,0x00 + ACK 8
0.005575666666667,I2C,0x00 + ACK 9
0.005684083333333,I2C,0x00 + ACK 10
0.005792500000000,I2C,0x00 + ACK 11
0.005900916666667,I2C,0x00 + ACK 12
0.006009291666667,I2C,0x00 + ACK 13
0.006117750000000,I2C,0x00 + ACK 14
0.006226125000000,I2C,0x00 + ACK 15
0.006334541666667,I2C,0x00 + ACK 16
0.006442958333333,I2C,0x00 + ACK 17
0.006551375000000,I2C,0x00 + ACK 18
0.006659791666667,I2C,0x00 + ACK 19
0.006792791666667,I2C,Setup Write to [0x7C] + ACK
0.006912250000000,I2C,0xC8 + ACK
pause 1 sec
1.014479541666667,I2C,Setup Write to [0xE0] + ACK
1.014596958333333,I2C,0x35 + ACK
1.014708875000000,I2C,0x17 + ACK
1.015076166666667,I2C,Setup Write to [0xE0] + ACK
1.015193625000000,I2C,0x78 + ACK
1.015305541666667,I2C,0x66 + ACK
pause 11.72 ms
1.027134416666667,I2C,Setup Read to [0xE1] + ACK
1.027242833333333,I2C,0x65 + ACK
1.027323625000000,I2C,0x8D + ACK
1.027404416666667,I2C,0x95 + ACK
1.027485250000000,I2C,0x50 + ACK
1.027565000000000,I2C,0xD7 + ACK
1.027646833333333,I2C,0xF5 + ACK
1.027771250000000,I2C,Setup Write to [0xE0] + ACK
1.027889166666667,I2C,0xB0 + ACK
1.028000583333333,I2C,0x98 + ACK
pause 6.5 ms
1.034589250000000,I2C,Setup Write to [0x7C] + ACK
1.034708708333333,I2C,0xE8 + ACK
1.034820083333333,I2C,0x00 + ACK  1 
1.034940541666667,I2C,0xDF + ACK  2 
1.035052458333333,I2C,0xAC + ACK  3 
1.035162875000000,I2C,0xEE + ACK  4 
1.035274250000000,I2C,0xBF + ACK  5 
1.035386166666667,I2C,0xDE + ACK  6 
1.035497083333333,I2C,0x4F + ACK  7 
1.035608500000000,I2C,0xFA + ACK  8 
1.035719916666667,I2C,0xFF + ACK  9 
1.035831791666667,I2C,0x00 + ACK  10
1.035940708333333,I2C,0xFF + ACK  11
1.036053125000000,I2C,0xEF + ACK  12
1.036164500000000,I2C,0x70 + ACK  13
1.036274416666667,I2C,0x00 + ACK  14
1.036382833333333,I2C,0x00 + ACK  15
1.036491208333333,I2C,0x00 + ACK  16
1.036599583333333,I2C,0x00 + ACK  17
1.036708000000000,I2C,0x00 + ACK  18
1.036816375000000,I2C,0x00 + ACK  19
1.036949375000000,I2C,Setup Write to [0x7C] + ACK
1.037068791666667,I2C,0xC8 + ACK

2.044338166666666,I2C,Setup Write to [0xE0] + ACK
2.044455625000000,I2C,0x35 + ACK
2.044567500000000,I2C,0x17 + ACK
2.044934791666666,I2C,Setup Write to [0xE0] + ACK
2.045052208333333,I2C,0x78 + ACK
2.045164083333333,I2C,0x66 + ACK
2.057001250000000,I2C,Setup Read to [0xE1] + ACK
2.057109666666667,I2C,0x65 + ACK
2.057190458333333,I2C,0x8D + ACK
2.057271250000000,I2C,0x95 + ACK
2.057352041666667,I2C,0x50 + ACK
2.057431833333333,I2C,0xD8 + ACK
2.057512666666667,I2C,0xDB + ACK
2.057637125000000,I2C,Setup Write to [0xE0] + ACK
2.057755041666667,I2C,0xB0 + ACK
2.057866458333333,I2C,0x98 + ACK
3.066066541666667,I2C,Setup Write to [0xE0] + ACK
3.066183958333333,I2C,0x35 + ACK
3.066295875000000,I2C,0x17 + ACK
3.066663166666667,I2C,Setup Write to [0xE0] + ACK
3.066780583333333,I2C,0x78 + ACK
3.066892500000000,I2C,0x66 + ACK
3.078739958333333,I2C,Setup Read to [0xE1] + ACK
3.078848375000000,I2C,0x65 + ACK
3.078929208333333,I2C,0x8A + ACK
3.079009500000000,I2C,0x02 + ACK
3.079088791666666,I2C,0x50 + ACK
3.079168583333333,I2C,0x72 + ACK
3.079249375000000,I2C,0xFC + ACK
3.079373833333333,I2C,Setup Write to [0xE0] + ACK
3.079491791666667,I2C,0xB0 + ACK
3.079603208333333,I2C,0x98 + ACK

3.086103000000000,I2C,Setup Write to [0x7C] + ACK
3.086222458333333,I2C,0xE8 + ACK
3.086333875000000,I2C,0x00 + ACK  1 
3.086454333333333,I2C,0xDF + ACK  2 
3.086566250000000,I2C,0xAC + ACK  3 
3.086676666666667,I2C,0xEE + ACK  4 
