Time [s], Analyzer Name, Decoded Protocol Result
0.000014083333333,I2C,Setup Write to [0xE0] + ACK
0.000131500000000,I2C,0x35 + ACK
0.000243375000000,I2C,0x17 + ACK

0.000610666666667,I2C,Setup Write to [0xE0] + ACK
0.000728083333333,I2C,0x78 + ACK
0.000840000000000,I2C,0x66 + ACK
pause 11.7 ms
0.012645875000000,I2C,Setup Read to [0xE1] + ACK
0.012754291666667,I2C,0x63 + ACK
0.012835083333333,I2C,0x3C + ACK
0.012915875000000,I2C,0x41 + ACK
0.012995666666667,I2C,0x52 + ACK
0.013075958333333,I2C,0x32 + ACK
0.013156250000000,I2C,0x18 + ACK
0.013278708333333,I2C,Setup Write to [0xE0] + ACK
0.013396666666667,I2C,0xB0 + ACK
0.013508083333333,I2C,0x98 + ACK
pause 6.8 ms
0.020437125000000,I2C,Setup Write to [0x7C] + ACK
0.020556583333333,I2C,0xE8 + ACK
0.020668000000000,I2C,0x00 + ACK
0.020788416666667,I2C,0xDF + ACK
0.020900333333333,I2C,0xFF + ACK
0.021012750000000,I2C,0xEE + ACK
0.021124166666667,I2C,0xBF + ACK
0.021236125000000,I2C,0xDB + ACK
0.021347500000000,I2C,0xFD + ACK
0.021459458333333,I2C,0xFA + ACK
0.021570875000000,I2C,0xFF + ACK
0.021683250000000,I2C,0xBF + ACK
0.021795166666667,I2C,0xDF + ACK
0.021906583333333,I2C,0x00 + ACK
0.022015500000000,I2C,0xF0 + ACK
0.022125375000000,I2C,0x00 + ACK
0.022233791666667,I2C,0x00 + ACK
0.022342166666667,I2C,0x00 + ACK
0.022450583333333,I2C,0x00 + ACK
0.022559000000000,I2C,0x00 + ACK
0.022667416666667,I2C,0x00 + ACK
0.022800416666667,I2C,Setup Write to [0x7C] + ACK
0.022919833333333,I2C,0xC8 + ACK
pause 1 sec
1.028249958333333,I2C,Setup Write to [0xE0] + ACK
1.028367416666667,I2C,0x35 + ACK
1.028479291666667,I2C,0x17 + ACK
1.028846625000000,I2C,Setup Write to [0xE0] + ACK
1.028964041666667,I2C,0x78 + ACK
1.029075958333333,I2C,0x66 + ACK
1.040896916666667,I2C,Setup Read to [0xE1] + ACK
1.041005375000000,I2C,0x63 + ACK
1.041086166666667,I2C,0x32 + ACK
1.041166458333333,I2C,0x5E + ACK
1.041247750000000,I2C,0x51 + ACK
1.041328041666667,I2C,0xF5 + ACK
1.041409875000000,I2C,0xE5 + ACK
1.041533791666667,I2C,Setup Write to [0xE0] + ACK
1.041651750000000,I2C,0xB0 + ACK
1.041763166666667,I2C,0x98 + ACK

1.049104791666667,I2C,Setup Write to [0x7C] + ACK
1.049224250000000,I2C,0xE8 + ACK
1.049335708333333,I2C,0x00 + ACK
1.049456166666667,I2C,0xDF + ACK
1.049568083333333,I2C,0xFF + ACK
1.049680500000000,I2C,0xEE + ACK
1.049791916666667,I2C,0xBF + ACK
1.049903833333333,I2C,0xDB + ACK
1.050015250000000,I2C,0xFD + ACK
1.050127208333333,I2C,0xFA + ACK
1.050238625000000,I2C,0xFF + ACK
1.050351041666667,I2C,0xBF + ACK
1.050462958333333,I2C,0xDF + ACK
1.050574916666667,I2C,0xFB + ACK
1.050686833333333,I2C,0xF0 + ACK
1.050796750000000,I2C,0x00 + ACK
1.050905166666667,I2C,0x00 + ACK
1.051013541666667,I2C,0x00 + ACK
1.051121958333333,I2C,0x00 + ACK
1.051230375000000,I2C,0x00 + ACK
1.051338791666667,I2C,0x00 + ACK
1.051471750000000,I2C,Setup Write to [0x7C] + ACK
1.051591208333333,I2C,0xC8 + ACK
2.057277041666667,I2C,Setup Write to [0xE0] + ACK
2.057394500000000,I2C,0x35 + ACK
2.057506416666667,I2C,0x17 + ACK
2.057873750000000,I2C,Setup Write to [0xE0] + ACK
2.057991166666667,I2C,0x78 + ACK
2.058103083333333,I2C,0x66 + ACK
2.069937541666667,I2C,Setup Read to [0xE1] + ACK
2.070045958333333,I2C,0x63 + ACK
2.070126750000000,I2C,0x45 + ACK
2.070207083333333,I2C,0x31 + ACK
2.070287375000000,I2C,0x51 + ACK
2.070367666666667,I2C,0xB1 + ACK
2.070448500000000,I2C,0x1C + ACK
2.070571458333333,I2C,Setup Write to [0xE0] + ACK
2.070689416666667,I2C,0xB0 + ACK
2.070800833333333,I2C,0x98 + ACK
2.077824958333333,I2C,Setup Write to [0x7C] + ACK
2.077944416666667,I2C,0xE8 + ACK
2.078055833333333,I2C,0x00 + ACK
2.078176333333333,I2C,0xDF + ACK
2.078288250000000,I2C,0xFF + ACK
2.078400666666667,I2C,0xEE + ACK
2.078512083333333,I2C,0xBF + ACK
2.078624041666667,I2C,0xDB + ACK
2.078735458333334,I2C,0xFD + ACK
2.078847375000000,I2C,0xFA + ACK
2.078958791666667,I2C,0xFF + ACK
2.079070708333334,I2C,0x00 + ACK
2.079179625000000,I2C,0xFF + ACK
2.079292041666667,I2C,0xEF + ACK
2.079404000000000,I2C,0xF0 + ACK
2.079513916666667,I2C,0x00 + ACK
2.079622333333333,I2C,0x00 + ACK
2.079730750000000,I2C,0x00 + ACK
2.079839166666666,I2C,0x00 + ACK
2.079947541666667,I2C,0x00 + ACK
